p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,2362004,2022418,2538236,2205134,99773,772461
000,010,1386640,1057842,3532606,3324840,80767,617331
000,011,880846,563436,4018794,3847373,100373,589204
000,100,47,5578,4999938,4974467,28,19968
000,101,1261480,839085,3632159,3470883,106374,690045
000,110,46970,41243,4939963,4836464,13080,122306
000,111,2429751,1626755,2427016,1626709,143246,1746549
001,000,2538236,2205134,2362004,2022418,99773,772461
001,010,4315186,4005337,619162,581225,65665,413451
001,011,4778310,4414141,179464,258583,42239,327289
001,100,9515,131456,4988059,4676414,2439,192143
001,101,4588156,3961517,342425,567133,69432,471363
001,110,2390485,2047740,2387565,2045377,221963,906896
001,111,4940017,4837066,47183,41513,12813,121434
010,000,3532606,3324840,1386640,1057842,80767,617331
010,001,619162,581225,4315186,4005337,65665,413451
010,011,2427727,2157048,2428813,2158287,143473,684678
010,100,2101054,2118066,2790200,2209705,108759,672242
010,101,2438863,2031100,2441301,2031691,119849,937222
010,110,342793,567199,4588059,3960892,69161,471922
010,111,3632207,3471045,1261491,839319,106315,689649
011,000,4018794,3847373,880846,563436,100373,589204
011,001,179464,258583,4778310,4414141,42239,327289
011,010,2428813,2158287,2427727,2157048,143473,684678
011,100,2426562,2156890,2430189,2158539,143262,684584
011,101,2790965,2210956,2100018,2117554,109030,671503
011,110,4988144,4677760,9422,130588,2447,191665
011,111,4999925,4974387,65,5580,23,20046
100,000,4999938,4974467,47,5578,28,19968
100,001,4988059,4676414,9515,131456,2439,192143
100,010,2790200,2209705,2101054,2118066,108759,672242
100,011,2430189,2158539,2426562,2156890,143262,684584
100,101,2428222,2158812,2428256,2158187,143535,683014
100,110,179776,258648,4778903,4414278,41334,327087
100,111,4020384,3846994,879781,563136,99848,589883
101,000,3632159,3470883,1261480,839085,106374,690045
101,001,342425,567133,4588156,3961517,69432,471363
101,010,2441301,2031691,2438863,2031100,119849,937222
101,011,2100018,2117554,2790965,2210956,109030,671503
101,100,2428256,2158187,2428222,2158812,143535,683014
101,110,618883,580213,4315569,4005569,65561,414231
101,111,3532221,3324361,1386315,1057957,81477,617695
110,000,4939963,4836464,46970,41243,13080,122306
110,001,2387565,2045377,2390485,2047740,221963,906896
110,010,4588059,3960892,342793,567199,69161,471922
110,011,9422,130588,4988144,4677760,2447,191665
110,100,4778903,4414278,179776,258648,41334,327087
110,101,4315569,4005569,618883,580213,65561,414231
110,111,2541200,2204849,2359659,2021861,99154,773303
111,000,2427016,1626709,2429751,1626755,143246,1746549
111,001,47183,41513,4940017,4837066,12813,121434
111,010,1261491,839319,3632207,3471045,106315,689649
111,011,65,5580,4999925,4974387,23,20046
111,100,879781,563136,4020384,3846994,99848,589883
111,101,1386315,1057957,3532221,3324361,81477,617695
111,110,2359659,2021861,2541200,2204849,99154,773303
