p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,2362000,2022414,2538232,2205129,99772,772461
000,010,1386637,1057839,3532600,3324834,80767,617331
000,011,880844,563435,4018787,3847367,100373,589202
000,100,47,5578,4999929,4974458,28,19968
000,101,1261477,839083,3632153,3470876,106374,690045
000,110,46970,41243,4939954,4836455,13080,122306
000,111,2429747,1626752,2427011,1626707,143246,1746545
001,000,2538232,2205129,2362000,2022414,99772,772461
001,010,4315177,4005329,619162,581225,65665,413450
001,011,4778301,4414133,179464,258582,42239,327289
001,100,9515,131456,4988050,4676405,2439,192143
001,101,4588147,3961510,342425,567131,69432,471363
001,110,2390481,2047738,2387560,2045373,221963,906893
001,111,4940008,4837057,47183,41513,12813,121434
010,000,3532600,3324834,1386637,1057839,80767,617331
010,001,619162,581225,4315177,4005329,65665,413450
010,011,2427722,2157045,2428809,2158283,143473,684676
010,100,2101052,2118064,2790194,2209700,108758,672240
010,101,2438858,2031096,2441298,2031687,119848,937221
010,110,342793,567198,4588050,3960885,69161,471921
010,111,3632199,3471038,1261490,839317,106315,689649
011,000,4018787,3847367,880844,563435,100373,589202
011,001,179464,258582,4778301,4414133,42239,327289
011,010,2428809,2158283,2427722,2157045,143473,684676
011,100,2426556,2156884,2430186,2158537,143262,684583
011,101,2790960,2210954,2100014,2117551,109030,671499
011,110,4988135,4677753,9422,130588,2447,191663
011,111,4999916,4974378,65,5580,23,20046
100,000,4999929,4974458,47,5578,28,19968
100,001,4988050,4676405,9515,131456,2439,192143
100,010,2790194,2209700,2101052,2118064,108758,672240
100,011,2430186,2158537,2426556,2156884,143262,684583
100,101,2428216,2158806,2428253,2158184,143535,683014
100,110,179776,258648,4778894,4414269,41334,327087
100,111,4020376,3846985,879781,563136,99847,589883
101,000,3632153,3470876,1261477,839083,106374,690045
101,001,342425,567131,4588147,3961510,69432,471363
101,010,2441298,2031687,2438858,2031096,119848,937221
101,011,2100014,2117551,2790960,2210954,109030,671499
101,100,2428253,2158184,2428216,2158806,143535,683014
101,110,618881,580213,4315563,4005562,65560,414229
101,111,3532215,3324355,1386312,1057955,81477,617694
110,000,4939954,4836455,46970,41243,13080,122306
110,001,2387560,2045373,2390481,2047738,221963,906893
110,010,4588050,3960885,342793,567198,69161,471921
110,011,9422,130588,4988135,4677753,2447,191663
110,100,4778894,4414269,179776,258648,41334,327087
110,101,4315563,4005562,618881,580213,65560,414229
110,111,2541194,2204843,2359657,2021858,99153,773303
111,000,2427011,1626707,2429747,1626752,143246,1746545
111,001,47183,41513,4940008,4837057,12813,121434
111,010,1261490,839317,3632199,3471038,106315,689649
111,011,65,5580,4999916,4974378,23,20046
111,100,879781,563136,4020376,3846985,99847,589883
111,101,1386312,1057955,3532215,3324355,81477,617694
111,110,2359657,2021858,2541194,2204843,99153,773303
